,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars)
0,11.066666666666668,11.066666666666668,0.86,21.8638,0.0,9.982,1009.22
1,7.4444444444444455,7.4444444444444455,0.97,2.737,153.0,0.27370000000000005,1020.57
2,1.5333333333333323,-1.7277777777777774,0.9,11.109000000000002,323.0,13.8138,1016.92
3,12.844444444444445,12.844444444444445,0.72,19.931800000000006,170.0,7.084000000000001,1024.79
4,5.472222222222222,4.433333333333332,0.97,5.554500000000001,264.0,3.1234,1014.82
5,12.272222222222226,12.272222222222226,0.61,12.4453,212.0,16.1,1011.76
6,17.15,17.15,0.64,14.023100000000005,130.0,9.982,1009.2
7,30.84444444444444,29.8,0.32,11.0446,203.0,10.3523,1014.31
8,5.388888888888889,3.0111111111111115,0.93,10.6099,318.0,6.8425,1012.85
9,10.005555555555553,10.005555555555553,0.65,12.9927,282.0,9.982,1010.42
10,18.744444444444444,18.744444444444444,0.44,7.293300000000001,186.0,9.982,1001.64
11,11.111111111111109,11.111111111111109,0.93,11.27,100.0,11.27,1013.6
12,23.75,23.75,0.58,2.5599000000000003,182.0,10.2557,1011.52
13,4.766666666666667,2.3888888888888875,0.72,10.0464,285.0,9.982,1016.83
14,8.383333333333335,7.033333333333331,0.84,8.420300000000001,159.0,14.168000000000005,1014.59
15,20.92777777777778,20.92777777777778,0.8,11.27,350.0,9.982,1007.68
16,21.06111111111111,21.06111111111111,0.38,4.8139,51.0,10.2557,1025.44
17,0.022222222222221748,-3.694444444444444,0.91,11.7208,181.0,7.889000000000001,1011.99
18,-1.0777777777777784,-7.427777777777778,0.76,26.2591,149.0,10.1108,994.64
19,19.855555555555554,19.855555555555554,0.46,4.9749,87.0,10.2557,1014.18
20,5.0,0.8833333333333352,0.6,21.735000000000007,20.0,16.1,1025.3
21,17.22222222222222,17.22222222222222,0.9,6.44,30.0,15.134000000000002,1015.7
22,15.027777777777779,15.027777777777779,0.96,3.0751,180.0,10.0786,1014.91
23,25.0,25.0,0.45,8.05,170.0,9.982,1014.1
24,17.655555555555555,17.655555555555555,0.51,12.8478,121.0,9.982,1021.09
25,22.73333333333333,22.73333333333333,0.62,9.66,261.0,9.982,1010.0
